latitude,longitude,elevation (ft),velocity (mph),distance (miles),date,time,elapsed_time (seconds)
30.2699,-97.775615,357.61156,66.23538064880134,17.390714801068558,2015-02-11,14:59:19,2235.0
30.269745,-97.77583,360.8924,60.16363008628133,17.40742692053697,2015-02-11,14:59:20,2236.0
30.26961,-97.776045,360.8924,57.10363487707948,17.423289041336158,2015-02-11,14:59:21,2237.0
30.26942,-97.77624,360.8924,63.15318932543945,17.440831593926557,2015-02-11,14:59:22,2238.0
30.26922,-97.77646,360.8924,68.61797337911747,17.459892142087423,2015-02-11,14:59:23,2239.0
30.26912,-97.77667,357.61156,51.51603209625379,17.47420215100305,2015-02-11,14:59:24,2240.0
30.269,-97.77689,357.61156,55.89791430551064,17.489729349421246,2015-02-11,14:59:25,2241.0
30.26892,-97.777085,354.33072,46.37691885399376,17.50261182688069,2015-02-11,14:59:26,2242.0
30.268805,-97.777295,354.33072,53.41763484032682,17.517450058780778,2015-02-11,14:59:27,2243.0
30.268696666666667,-97.777495,357.61156,50.71602955579383,17.531537844768497,2015-02-11,14:59:28,2244.0
30.268573333333332,-97.777705,357.61156,54.55577885905558,17.546692227784902,2015-02-11,14:59:29,2245.0
30.268411666666665,-97.777895,354.33072,57.29799884667877,17.562608338575647,2015-02-11,14:59:30,2246.0
30.268295,-97.77811666666666,354.33072,55.76533595425171,17.578098709674048,2015-02-11,14:59:31,2247.0
30.26815,-97.77830166666666,357.61156,53.66856626326014,17.593006644747177,2015-02-11,14:59:32,2248.0
30.26803,-97.778505,360.8924,52.90558940097457,17.607702641803005,2015-02-11,14:59:33,2249.0
30.267905,-97.77870166666666,360.8924,52.456908664650605,17.622274005320964,2015-02-11,14:59:34,2250.0
30.267778333333332,-97.77890666666667,360.8924,54.14942731209475,17.63731551290766,2015-02-11,14:59:35,2251.0
30.26767,-97.77911,360.8924,51.32447681381322,17.65157231202261,2015-02-11,14:59:36,2252.0
30.26761,-97.779275,364.17324,38.46033924161302,17.662255739589725,2015-02-11,14:59:37,2253.0
30.267546666666668,-97.77951,367.45408,52.88544765647895,17.676946141716524,2015-02-11,14:59:38,2254.0
30.26749,-97.77975,370.73492,53.45079478968346,17.691793584713658,2015-02-11,14:59:39,2255.0
30.26748,-97.77992,374.01576,18.302743511332537,17.701961775553286,2015-02-11,14:59:41,2257.0
30.267495,-97.78001,380.57744,19.6912866493539,17.707431577400328,2015-02-11,14:59:42,2258.0
30.267451666666666,-97.78017166666666,387.13912,18.182375135668394,17.717532896920144,2015-02-11,14:59:44,2260.0
30.26742,-97.780275,387.13912,23.554958192545527,17.724075940862516,2015-02-11,14:59:45,2261.0
30.267365,-97.78038,387.13912,26.381344645828282,17.731404092153024,2015-02-11,14:59:46,2262.0
30.267305,-97.78049,390.41996,27.94930821559461,17.739167788879577,2015-02-11,14:59:47,2263.0
30.26726,-97.780615,393.7008,29.09302498241699,17.747249184708025,2015-02-11,14:59:48,2264.0
30.267220000000002,-97.78076,400.26248,32.70059358667969,17.756332682926548,2015-02-11,14:59:49,2265.0
30.267136666666666,-97.78093,406.82416,41.993248549013636,17.767997474190164,2015-02-11,14:59:50,2266.0
30.26711,-97.78111,410.105,39.234062956291375,17.778895825011357,2015-02-11,14:59:51,2267.0
30.26705,-97.78129,406.82416,41.4493348757576,17.790409529143513,2015-02-11,14:59:52,2268.0
30.267,-97.781435,403.54332,33.54125361155706,17.79972654403561,2015-02-11,14:59:53,2269.0
30.266946666666666,-97.781615,403.54332,40.8815937194721,17.811082542291018,2015-02-11,14:59:54,2270.0
30.266868333333335,-97.78175,406.82416,34.93933770728173,17.820787913876373,2015-02-11,14:59:55,2271.0
30.266805,-97.78186,406.82416,28.40078820753512,17.8286770217118,2015-02-11,14:59:56,2272.0
30.266761666666667,-97.781975,406.82416,26.95436840763717,17.836164346269477,2015-02-11,14:59:57,2273.0
30.2667,-97.782085,406.82416,28.172974260712106,17.843990172453008,2015-02-11,14:59:58,2274.0
30.266641666666665,-97.782195,406.82416,27.730296227398703,17.851693032516174,2015-02-11,14:59:59,2275.0
30.266575,-97.78232,406.82416,31.561115640645724,17.86046000908302,2015-02-11,15:00:00,2276.0
30.266496666666665,-97.78243,406.82416,30.62810887366902,17.868967817103485,2015-02-11,15:00:01,2277.0
30.266401666666667,-97.78252,403.54332,30.53206497196016,17.877448946262362,2015-02-11,15:00:02,2278.0
30.26641,-97.782605,396.98163999999997,18.377908193819056,17.882553920760646,2015-02-11,15:00:03,2279.0
30.266421666666666,-97.78276,393.7008,33.425021438859,17.89183864893811,2015-02-11,15:00:04,2280.0
30.266391666666667,-97.782925,406.82416,36.22404441372503,17.901900883497476,2015-02-11,15:00:05,2281.0
30.266421666666666,-97.78308,410.105,34.12467949822269,17.91137996113587,2015-02-11,15:00:06,2282.0
30.266505,-97.783215,419.94752,35.64794768853411,17.92128216882713,2015-02-11,15:00:07,2283.0
30.26659666666667,-97.78335,423.22836,36.89174904760936,17.93152987689591,2015-02-11,15:00:08,2284.0
30.266655,-97.783515,419.94752,38.301717932349696,17.942169242988232,2015-02-11,15:00:09,2285.0
30.266705,-97.783705,419.94752,42.67043347214821,17.95402214117494,2015-02-11,15:00:10,2286.0
30.26675,-97.78391,419.94752,45.4403712848938,17.966644466531854,2015-02-11,15:00:11,2287.0
30.26678,-97.78409666666667,423.22836,40.790013647885,17.97797502587849,2015-02-11,15:00:12,2288.0
